Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Elildo Alves Ribeiro De Carvalho Junior;927807;Nº Da Autorização/Licença Sisbio: 47682, Projeto: Avaliação Populacional Da Onça-Pintada Na Rebio Gurupi;31/08/2015;01/09/2015 a 01/09/2015;28/07/2018;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva Biológica Do Gurupi;Brasil;MA;Sem Informações;Espécie não Sensível;-3.50326;-46.619696;Coordenada exata da ocorrência;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Elildo Alves Ribeiro De Carvalho Junior;927808;Nº Da Autorização/Licença Sisbio: 47682, Projeto: Avaliação Populacional Da Onça-Pintada Na Rebio Gurupi;31/08/2015;01/09/2015 a 01/09/2015;28/07/2018;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva Biológica Do Gurupi;Brasil;MA;Sem Informações;Espécie não Sensível;-3.534453;-46.57458;Coordenada exata da ocorrência;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Elildo Alves Ribeiro De Carvalho Junior;927809;Nº Da Autorização/Licença Sisbio: 47682, Projeto: Avaliação Populacional Da Onça-Pintada Na Rebio Gurupi;31/08/2015;01/09/2015 a 01/09/2015;28/07/2018;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva Biológica Do Gurupi;Brasil;MA;Sem Informações;Espécie não Sensível;-3.513277;-46.584076;Coordenada exata da ocorrência;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Elildo Alves Ribeiro De Carvalho Junior;927810;Nº Da Autorização/Licença Sisbio: 47682, Projeto: Avaliação Populacional Da Onça-Pintada Na Rebio Gurupi;31/08/2015;01/09/2015 a 01/09/2015;28/07/2018;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva Biológica Do Gurupi;Brasil;MA;Sem Informações;Espécie não Sensível;-3.499625;-46.607311;Coordenada exata da ocorrência;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Elildo Alves Ribeiro De Carvalho Junior;927811;Nº Da Autorização/Licença Sisbio: 47682, Projeto: Avaliação Populacional Da Onça-Pintada Na Rebio Gurupi;31/08/2015;01/09/2015 a 01/09/2015;28/07/2018;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva Biológica Do Gurupi;Brasil;MA;Sem Informações;Espécie não Sensível;-3.485186;-46.621855;Coordenada exata da ocorrência;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Elildo Alves Ribeiro De Carvalho Junior;927812;Nº Da Autorização/Licença Sisbio: 47682, Projeto: Avaliação Populacional Da Onça-Pintada Na Rebio Gurupi;31/08/2015;01/09/2015 a 01/09/2015;28/07/2018;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva Biológica Do Gurupi;Brasil;MA;Sem Informações;Espécie não Sensível;-3.501533;-46.757641;Coordenada exata da ocorrência;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Elildo Alves Ribeiro De Carvalho Junior;927813;Nº Da Autorização/Licença Sisbio: 47682, Projeto: Avaliação Populacional Da Onça-Pintada Na Rebio Gurupi;31/08/2015;01/09/2015 a 01/09/2015;28/07/2018;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva Biológica Do Gurupi;Brasil;MA;Sem Informações;Espécie não Sensível;-3.487357;-46.806423;Coordenada exata da ocorrência;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Elildo Alves Ribeiro De Carvalho Junior;927814;Nº Da Autorização/Licença Sisbio: 47682, Projeto: Avaliação Populacional Da Onça-Pintada Na Rebio Gurupi;31/08/2015;01/09/2015 a 01/09/2015;28/07/2018;Panthera onca;Onça-pintada;Panthera onca;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva Biológica Do Gurupi;Brasil;MA;Sem Informações;Espécie não Sensível;-3.441236;-46.849284;Coordenada exata da ocorrência;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Elildo Alves Ribeiro De Carvalho Junior;927988;Nº Da Autorização/Licença Sisbio: 47682, Projeto: Avaliação Populacional Da Onça-Pintada Na Rebio Gurupi;30/08/2015;31/08/2015 a 31/10/2015;28/07/2018;Panthera onca;Onça-pintada;Panthera onca;species;25;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Reserva Biológica Do Gurupi;Brasil;MA;Sem Informações;Espécie não Sensível;-3.689722;-46.823333;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Fernando Rodrigo Tortato;872756;Nº Da Autorização/Licença Sisbio: 43980, Projeto: Corredor Do Rio Cuiabá -  Área-Chave Para Conservação Da Onça-Pintada (Panthera Onca) No Pantanal;31/08/2015;01/09/2015 a 26/11/2015;26/04/2017;Panthera onca;Onça-pintada;Panthera onca;species;17;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;Espécie Ameaçada;Vulnerável;Fazenda Jofre Velho, Porto Jofre E Entorno;Brasil;MT;Pocone;Espécie não Sensível;-17.332778;-56.766111;Coordenada de referência da área amostrada;Sem Informações;Solto/mantido na natureza
